target_cluster,markerGene,target_exp,total_exp,fraction
e1_e299_SLC17A7_L5b_Cdh13,TESPA1,8.28077,18.28077,0.45297712
e1_e299_SLC17A7_L5b_Cdh13,SATB2,8.826549,22.61903,0.39022666
g1_g48_GLI3_Astro_Gja1,LINC00498,4.39068,4.39068,1.0
g2_g27_APBB1IP_Micro_Ctss,CSF2RA,7.499846,7.499846,1.0
g2_g27_APBB1IP_Micro_Ctss,ADAM28,10.332037,10.332037,1.0
g3_g18_GPNMB_OPC_Pdgfra,GPNMB,10.002554,10.002554,1.0
g3_g18_GPNMB_OPC_Pdgfra,OLIG2,4.2459264,4.2459264,1.0
g4_g9_MOG_Oligo_Opalin,ST18,12.0223675,12.0223675,1.0
i10_i16_TSPAN12_Vip_Mybpc1,TSPAN12,4.992921,4.992921,1.0
i10_i16_TSPAN12_Vip_Mybpc1,CHRNB3,6.646161,11.710802,0.567524
i11_i6_EGF_Vip_Mybpc1,EGF,7.836171,7.836171,1.0
i11_i6_EGF_Vip_Mybpc1,FBRSL1,3.0646415,3.0646415,1.0
i1_i90_COL5A2_Ndnf_Car4,COL5A2,9.2488985,11.2488985,0.8222048
i1_i90_COL5A2_Ndnf_Car4,NDNF,8.08461,20.494205,0.39448273
i2_i77_LHX6_Sst_Cbln4,LHX6,4.643856,4.643856,1.0
i3_i56_BAGE2_Ndnf_Cxcl14,BAGE2,6.649604,7.649604,0.86927426
i3_i56_BAGE2_Ndnf_Cxcl14,SYT10,7.3748035,21.982134,0.3354908
i4_i54_MC4R_Ndnf_Cxcl14,ARHGAP36,8.645603,8.645603,1.0
i4_i54_MC4R_Ndnf_Cxcl14,ADAM33,6.9709826,16.579166,0.42046642
i4_i54_MC4R_Ndnf_Cxcl14,FAM19A4,6.812055,17.221346,0.3955588
i5_i47_TRPC3_Ndnf_Car4,NTNG1,9.0443945,22.437248,0.4030973
i5_i47_TRPC3_Ndnf_Car4,EYA4,8.957102,25.030704,0.35784456
i6_i44_GPR149_Vip_Mybpc1,FLT1,2.4534452,2.4534452,1.0
i6_i44_GPR149_Vip_Mybpc1,GPR149,7.475642,11.997839,0.6230824
i7_i31_CLMP_Ndnf_Cxcl14,PAX6,6.3750396,10.128937,0.6293888
i7_i31_CLMP_Ndnf_Cxcl14,CPLX3,6.643856,12.643856,0.5254612
i8_i27_SNCG_Vip_Mybpc1,SNCG,5.169925,5.169925,1.0
i8_i27_SNCG_Vip_Mybpc1,EDNRA,5.857981,5.857981,1.0
i9_i22_TAC3_Vip_Mybpc1,MCTP2,5.3571224,5.3571224,1.0
i9_i22_TAC3_Vip_Mybpc1,IQGAP2,6.646161,11.179206,0.59451103
