clusterName,clusterSize,f_score,PPV,TN,FP,FN,TP,marker_count,markers,onTarget
e1_e299_SLC17A7_L5b_Cdh13,299,0.9597411933860531,0.978021978021978,566,6,32,267,1,['LINC00507'],0.4793359
g1_g48_GLI3_Astro_Gja1,48,0.9500000000000001,1.0,823,0,10,38,1,['LINC00498'],0.88232183
g2_g27_APBB1IP_Micro_Ctss,27,0.9756097560975611,1.0,844,0,3,24,2,"['ADAM28', 'PTPRC']",0.7365142
g3_g18_GPNMB_OPC_Pdgfra,18,0.8620689655172413,1.0,853,0,8,10,2,"['GPNMB', 'OLIG2']",0.65699077
g4_g9_MOG_Oligo_Opalin,9,1.0,1.0,862,0,0,9,1,['ST18'],0.62248677
i10_i16_TSPAN12_Vip_Mybpc1,16,0.8035714285714286,0.9,854,1,7,9,2,"['TSPAN12', 'CHRNB3']",0.37026674
i11_i6_EGF_Vip_Mybpc1,6,0.7142857142857143,1.0,865,0,4,2,2,"['EGF', 'FBRSL1']",0.35648748
i1_i90_COL5A2_Ndnf_Car4,90,0.9078212290502793,0.9701492537313433,779,2,25,65,2,"['COL5A2', 'BMP6']",0.29902664
i2_i77_LHX6_Sst_Cbln4,77,0.8166189111747851,0.8382352941176471,783,11,20,57,1,['LHX6'],0.7958641
i3_i56_BAGE2_Ndnf_Cxcl14,56,0.78125,0.9615384615384616,814,1,31,25,2,"['BAGE2', 'SYT10']",0.28258154
i4_i54_MC4R_Ndnf_Cxcl14,54,0.8571428571428573,0.9230769230769231,814,3,18,36,2,"['ARHGAP36', 'ADAM33']",0.39495668
i5_i47_TRPC3_Ndnf_Car4,47,0.9064327485380117,1.0,824,0,16,31,2,"['NTNG1', 'EYA4']",0.2659594
i6_i44_GPR149_Vip_Mybpc1,44,0.7916666666666666,1.0,827,0,25,19,2,"['FLT1', 'GPR149']",0.45543832
i7_i31_CLMP_Ndnf_Cxcl14,31,0.9009009009009009,1.0,840,0,11,20,2,"['PAX6', 'TGFBR2']",0.36428255
i8_i27_SNCG_Vip_Mybpc1,27,0.759493670886076,0.9230769230769231,843,1,15,12,2,"['SNCG', 'EDNRA']",0.4741883
i9_i22_TAC3_Vip_Mybpc1,22,0.6896551724137931,0.8888888888888888,848,1,14,8,2,"['BSPRY', 'MCTP2']",0.46722335
